date,temperature_high,temperature_avg,temperature_low
2021-02-01,32.4,29.9,27
2021-02-02,32.4,28.9,25.2
2021-02-03,34.9,29.1,23.2
2021-02-04,37.9,32.2,22.8
2021-02-05,22.8,15.7,11.5
2021-02-06,17.1,11.5,7.3
2021-02-07,8.2,3.2,-2.9
2021-02-08,15.8,10.9,4.5
2021-02-09,17.2,11.5,4.6
2021-02-10,18.3,14.3,9.1
2021-02-11,23,17.4,8.8
2021-02-12,21.4,16.4,9.7
2021-02-13,15.6,9.2,1.4
2021-02-14,6.4,1.9,-1.7
2021-02-15,17.4,9.7,2.1
2021-02-16,21.6,16.1,9.5
2021-02-17,23.9,18.7,16
2021-02-18,24.8,21.1,15.8
2021-02-19,23,18.5,12.4
2021-02-20,27.9,21.5,14.2
2021-02-21,36,29.9,23
2021-02-22,38.7,34,27.9
2021-02-23,45.5,40.8,36.9
2021-02-24,45.1,40.9,36.3
2021-02-25,49.5,42.5,36
2021-02-26,50,42.8,35.6
