date,temperature_high,temperature_avg,temperature_low
2021-02-01,37,28.6,21.2
2021-02-02,36.3,27,19
2021-02-03,39.6,27,14.7
2021-02-04,39.9,31.5,18.9
2021-02-05,19.9,12.9,8.4
2021-02-06,17.4,9.1,2.5
2021-02-07,12.2,0.6,-7.2
2021-02-08,22.8,10.5,1.4
2021-02-09,24.1,9.2,1
2021-02-10,19.4,12.5,4.8
2021-02-11,22.8,15.7,3
2021-02-12,25.5,15.1,7.9
2021-02-13,16.7,7.5,-1.7
2021-02-14,13.3,1.7,-4.7
2021-02-15,16.7,6.6,0.1
2021-02-16,29.8,15.4,6.8
2021-02-17,35.6,18.9,5.7
2021-02-18,32.2,20.9,14
2021-02-19,28,17.1,8.1
2021-02-20,39.4,20.5,2.7
2021-02-21,41.9,29.2,16.7
2021-02-22,40.3,34,26.8
2021-02-23,50,41.1,35.4
2021-02-24,48.7,39.8,26.1
2021-02-25,44.4,31.8,21.7
2021-02-26,46,33.9,20.1
2021-02-27,55.6,41.6,30.9
2021-02-28,50.7,41.4,32.9
